Age,Gender,Marital_Status,Governorate,Household_Size,Salary,Degree_Level,Employment_Status,Primary_Income_Source,Has_Other_Social_Benefits,Assets_Value,Liabilities_Value,Number_of_Children,Working_Children_Count,Total_Spouse_Income,Total_Children_Income,Total_Household_Income,Vehicle_Ownership,Vehicle_Count,Cylinder_Count,Vehicle_Age_Years,Fuel_Type,Expected_Fuel_Consumption_L,Average_Fuel_Consumption_L,Fuel_Deviation_L,Fuel_Deviation_Ratio,Previous_Subsidy_Received,Previous_Subsidy_Amount,Late_or_Missed_Renewals,Applications_Last_12_Months,Eligible,ID,Fraud
22.0,1,2,1,1,80.0,2,2,1,0,4800.57,1201.3,0,0,0.0,0.0,80.0,1,1,4,8,1,100.0,85.797,-14.2,0.858,1,30.26,1,2,1,14056736,0
47.0,1,1,1,4,80.0,4,0,0,1,2132.85,2749.14,1,0,213.73,0.0,293.73,1,0,6,9,1,100.0,54.788,-45.21,0.548,0,5.0,0,0,1,17297915,0
38.0,0,2,2,3,83.97,0,0,1,1,2389.59,3332.81,0,0,0.0,0.0,83.97,1,3,4,10,1,100.0,94.129,-5.87,0.941,1,24.74,0,1,1,12807222,0
18.0,1,2,2,4,172.85,4,2,1,0,5342.45,1170.7,0,0,0.0,0.0,172.85,1,3,4,8,1,100.0,111.447,11.45,1.114,1,12.81,0,0,1,10605820,0
28.0,0,2,1,5,80.0,1,3,0,0,2231.54,1985.26,0,0,0.0,0.0,80.0,1,1,6,5,1,100.0,46.568,-53.43,0.466,1,23.37,0,1,1,13210990,0
55.0,1,2,2,4,127.66,1,0,0,0,1740.51,645.13,0,0,0.0,0.0,127.66,0,0,0,0,2,0.0,0.0,0.0,0.0,1,17.65,0,1,0,11177262,0
18.0,1,2,4,1,148.34,0,2,0,1,3691.39,729.42,0,0,0.0,0.0,148.34,1,2,8,9,1,100.0,78.617,-21.38,0.786,1,22.81,1,1,1,10085517,0
30.0,0,2,4,3,80.0,3,3,0,0,2458.39,5545.64,0,0,0.0,0.0,80.0,1,0,4,4,1,100.0,113.153,13.15,1.132,1,25.4,0,0,1,17124620,0
50.0,1,2,0,3,80.0,1,3,2,0,3559.99,1819.08,0,0,0.0,0.0,80.0,1,1,4,6,1,100.0,82.107,-17.89,0.821,1,24.82,1,2,1,18326144,0
25.0,0,1,4,5,140.82,2,0,1,1,3602.62,3183.83,0,0,417.07,0.0,557.89,1,4,6,7,0,100.0,91.272,-8.73,0.913,0,5.0,0,2,1,15712326,0
